ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,tags,notes
2022-01-22T20:59:59-05:00,"Friday, Jan 21, 2022","Saturday, Jan 22, 2022",2022-01-22 02:12:22,2022-01-22 09:36:00,07:23:37,00:00:37,00:00:38,1,07:23:00,07:33:00,99.9,98.3,04:24:23,04:33:54,00:30:33,01:00:05,60.1,59.1,79.8,72.2,55.0,53.5,74,87,59,54,,,,,,,😀🍷,
2022-01-23T20:59:59-05:00,"Saturday, Jan 22, 2022","Sunday, Jan 23, 2022",2022-01-23 01:41:45,2022-01-23 08:10:00,08:17:14,01:01:14,00:03:15,2,07:16:00,07:27:20,84.2,93.6,04:45:56,04:37:55,01:00:09,01:00:06,69.1,62.4,78.6,73.8,59.0,55.3,41,72,23,49,,,,,,,,
2022-01-24T20:59:59-05:00,"Sunday, Jan 23, 2022","Monday, Jan 24, 2022",2022-01-24 02:11:30,2022-01-24 10:33:00,08:21:29,00:24:29,00:03:30,1,07:57:00,07:34:45,95.1,94.0,05:00:37,04:43:35,01:29:26,01:07:26,61.4,62.2,68.2,72.6,60.0,56.5,86,75,64,51,,,,14.4,12.0,18.0,,
2022-01-25T20:59:59-05:00,"Monday, Jan 24, 2022","Tuesday, Jan 25, 2022",2022-01-25 01:12:13,2022-01-25 09:03:00,07:50:46,00:57:46,00:02:47,1,06:53:00,07:26:24,87.7,92.7,03:50:15,04:32:55,00:15:18,00:57:00,61.2,62.0,68.8,72.0,54.9,56.2,70,74,35,49,,,,,,,,
2022-01-26T20:59:59-05:00,"Tuesday, Jan 25, 2022","Wednesday, Jan 26, 2022",2022-01-26 01:56:00,2022-01-26 08:47:00,06:51:00,00:40:00,00:00:00,1,06:11:00,07:13:50,90.3,92.3,03:30:40,04:22:33,,,66.6,62.7,70.5,71.8,58.0,56.5,62,72,38,47,,,,,,,,
2022-01-27T20:59:59-05:00,"Wednesday, Jan 26, 2022","Thursday, Jan 27, 2022",2022-01-27 01:09:41,2022-01-27 09:02:00,07:52:18,00:33:18,00:28:18,1,07:19:00,07:14:34,92.9,92.4,04:22:59,04:22:36,01:15:41,01:00:07,62.2,62.7,71.9,72.1,58.0,56.7,92,75,74,51,,,,,,,,
2022-01-28T20:59:59-05:00,"Thursday, Jan 27, 2022","Friday, Jan 28, 2022",2022-01-28 01:25:22,2022-01-28 09:26:00,08:00:37,00:03:37,00:03:38,1,07:57:00,07:16:34,99.2,92.8,04:27:47,04:20:22,01:16:56,01:02:31,61.7,63.2,68.6,72.3,52.0,56.7,62,70,46,48,,,,,,,,
2022-01-29T20:59:59-05:00,"Friday, Jan 28, 2022","Saturday, Jan 29, 2022",2022-01-29 00:42:07,2022-01-29 09:44:00,09:01:52,01:37:52,00:02:52,1,07:24:00,07:16:42,81.9,90.2,04:06:46,04:17:51,00:59:12,00:58:10,59.0,63.0,73.0,71.4,50.0,56.0,97,73,57,48,,,,,,,,
2022-01-30T20:59:59-05:00,"Saturday, Jan 29, 2022","Sunday, Jan 30, 2022",2022-01-30 01:14:55,2022-01-30 08:23:00,07:08:04,00:01:04,00:01:04,1,07:07:00,07:15:25,99.7,92.4,04:06:11,04:12:11,00:45:45,01:00:21,60.9,61.9,77.4,71.2,56.0,55.6,53,75,40,50,,,,,,,,
2022-01-31T20:59:59-05:00,"Sunday, Jan 30, 2022","Monday, Jan 31, 2022",2022-01-31 01:32:02,2022-01-31 09:00:00,07:27:57,00:21:57,00:01:58,1,07:06:00,07:08:08,95.1,92.4,04:18:28,04:06:09,00:30:26,00:56:06,60.9,61.8,68.9,71.3,58.0,55.3,103,77,38,47,,,,14.0,11.5,19.0,,
2022-02-01T20:59:59-05:00,"Monday, Jan 31, 2022","Tuesday, Feb 1, 2022",2022-02-01 00:35:00,2022-02-01 09:26:00,08:51:00,00:22:00,00:00:00,1,08:29:00,07:21:51,95.9,93.6,04:59:57,04:16:07,01:14:51,00:54:01,60.0,61.6,68.6,71.3,58.0,55.7,61,76,55,50,96.6,93,99,,,,,
